tool,formula,variables,formula_id,output,time
all,(G(!p2|Fp4)&G(p0|(!p3&!p4))&((!p0&(p1|p4))W(G!p4&Fp2&!p2))&G(Fp3|!p1|!p2)),#a#r1#r2#g1#g2,6,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((a) || (((!g1) && (!g2)))))) && ([](((!r2) || (<>(g2))))) && ([](((!r1) || (!r2) || (<>(g1))))) && ((((([](!a)) && ([](((r1) || (g2)))))) || (((((!a) && (((r1) || (g2))))) U (((!r2) && (<>(r2)) && ([](!g2))))))))),#a#r1#r2#g1#g2,6,UNSAT,0.02
NUSMV_v260,((G(((a) | (((!g1) & (!g2)))))) & (G(((!r2) | (F(g2))))) & (G(((!r1) | (!r2) | (F(g1))))) & (((((G(!a)) & (G(((r1) | (g2)))))) | (((((!a) & (((r1) | (g2))))) U (((!r2) & (F(r2)) & (G(!g2))))))))),#a#r1#r2#g1#g2,6,SAT,0.03
all,(G(!p2|Fp4)&G(p0|(!p3&!p4))&G(Fp3|!p1|!p2)&(((!p0&(p1|p3))W(G!p4&Fp2&Gp2))|G((!p0&(p3|p4))|(G!p4&(Fp2|!p1)&Gp2)))),#a#r1#r2#g1#g2,7,DIFF,no-time
SPIN_v651,(([](((a) || (((!g1) && (!g2)))))) && ([](((!r2) || (<>(g2))))) && ([](((!r1) || (!r2) || (<>(g1))))) && ((((([](!a)) && ([](((r1) || (g1)))))) || (((((!a) && (((r1) || (g1))))) U (((<>(r2)) && ([](r2)) && ([](!g2)))))) || ([](((((!a) && (((g1) || (g2))))) || ((([](r2)) && ([](!g2)) && (((!r1) || (<>(r2)))))))))))),#a#r1#r2#g1#g2,7,TIMEOUT,300.0
NUSMV_v260,((G(((a) | (((!g1) & (!g2)))))) & (G(((!r2) | (F(g2))))) & (G(((!r1) | (!r2) | (F(g1))))) & (((((G(!a)) & (G(((r1) | (g1)))))) | (((((!a) & (((r1) | (g1))))) U (((F(r2)) & (G(r2)) & (G(!g2)))))) | (G(((((!a) & (((g1) | (g2))))) | (((G(r2)) & (G(!g2)) & (((!r1) | (F(r2)))))))))))),#a#r1#r2#g1#g2,7,SAT,0.03
all,(G(!p2|Fp4)&G(p0|(!p3&!p4))&((!p0&(p1|p4))W(p2&G!p4))&G(Fp3|!p1|!p2)),#a#r1#r2#g1#g2,8,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((a) || (((!g1) && (!g2)))))) && ([](((!r2) || (<>(g2))))) && ([](((!r1) || (!r2) || (<>(g1))))) && ((((([](!a)) && ([](((r1) || (g2)))))) || (((((!a) && (((r1) || (g2))))) U (((r2) && ([](!g2))))))))),#a#r1#r2#g1#g2,8,UNSAT,0.03
NUSMV_v260,((G(((a) | (((!g1) & (!g2)))))) & (G(((!r2) | (F(g2))))) & (G(((!r1) | (!r2) | (F(g1))))) & (((((G(!a)) & (G(((r1) | (g2)))))) | (((((!a) & (((r1) | (g2))))) U (((r2) & (G(!g2))))))))),#a#r1#r2#g1#g2,8,SAT,0.03
all,(G((Fp2&!p4)|(!p0&(p1|p3)))&G(!p2|Fp4)&G(p0|(!p3&!p4))&G(Fp3|!p1|!p2)),#a#r1#r2#g1#g2,9,DIFF-SAT-UNSAT,no-time
